domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Computer Science,Computer Science,Information Security- II,Indian Institute of Technology Madras,V. Kamakoti,0,"
        ",60,"india,information security,asia,hardware security",Free Online Course,2016-01-18,Finished,English,,8 weeks long
Education & Teaching,Education & Teaching,Understanding Diversity and Inclusion,Purdue University,Charles A. Calahan,0,"
        ",115,"training,diversity,inclusion",Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,DevOps,"Computing, Storage and Security with Google Cloud Platform",Google,Google Cloud Training,1,"
        ",92,,Free Online Course (Audit),2017-07-03,Finished,English,"
              Paid Certificate Available
            ",1 weeks long
Computer Science,DevOps,Configuration Management on Google Cloud Platform,Google,Google Cloud Training,0,"
        ",44,,Free Online Course (Audit),2017-07-03,Finished,English,"
              Paid Certificate Available
            ",1 weeks long
Computer Science,DevOps,Designing Highly Scalable Web Apps on Google Cloud Platform,Google,Google Cloud Training,0,"
        ",47,,Free Online Course (Audit),2017-07-03,Finished,English,"
              Paid Certificate Available
            ",1 weeks long
Computer Science,Computer Science,Functional Programming in Erlang,FutureLearn,Simon Thompson,0,"
        ",50,erlang,Free Online Course (Audit),2017-06-19,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,Machine Learning,Learning From Data (Introductory Machine Learning),California Institute of Technology,Yaser Abu-Mostafa,21,"
        ",1454,caltechx,Free Online Course (Audit),2017-09-17,Finished,English,,10 weeks long
Computer Science,Algorithms and Data Structures,Modeling Discrete Optimization,University of Melbourne,Peter Stuckey and Carleton Coffrin,6,"
        ",201,"discrete opitimization,australia",Free Online Course (Audit),2017-05-29,Finished,English,"
              Paid Certificate Available
            ",7 weeks long
Computer Science,Information Technology,Understanding Information and Technology Today,University of Strathclyde,Viktor Dörfler,0,"
        ",38,,Free Online Course (Audit),2017-05-22,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Cybersecurity,Network Security for Industry Professionals,Queen's University Belfast,Kieran McLaughlin,0,"
        ",74,"europe,uk",Free Online Course (Audit),2017-03-27,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Test Prep,College Algebra Prep,Canvas Network,Pat McKeague,0,"
        ",88,,Free Online Course,2019-11-05,Finished,English,,7 weeks long
Education & Teaching,Education & Teaching,Developing Literacy: A Journey from Still Image to Film,TATE Year 3 Project,Jane Fletcher,0,"
        ",52,early literacy,Free Online Course (Audit),2019-02-18,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,STEM,Inspiring Young People In STEM: Using Feedback to Improve,National STEM Learning Centre,Angela Rust,0,"
        ",49,"teaching,stem,feedback",Free Online Course (Audit),2019-02-18,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,STEM,Build a Makerspace for Young People,Raspberry Pi Foundation,Andrew Collins,0,"
        ",62,makerspace,Free Online Course (Audit),2019-02-11,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,STEM,Inspiring Young People In STEM: Activities and Improving Communication,National STEM Learning Centre,Angela Rust,0,"
        ",76,"teaching,stem,communication",Free Online Course (Audit),2019-02-04,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,Higher Education,"Academic Integrity: Values, Skills, Action",University Of Auckland,Jason Stephens,8,"
        ",243,"human machine interface,academics,educational institutions,australia,new zealand",Free Online Course (Audit),2019-02-04,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Higher Education,Managing Intellectual Property in Universities,Indian Institute of Technology Madras,Dr. Feroze Ali,0,"
        ",24,"startups,intellectual property",Free Online Course,2019-01-28,Finished,English,"
              Certificate Available
            ",4 weeks long
Education & Teaching,Higher Education,Critical Thinking at University: An Introduction,University of Leeds,Jiani Liu and Michelle Schneider,9,"
        ",164,"critical thinking,university studies",Free Online Course (Audit),2019-01-28,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,Teacher Development,Effective Engineering Teaching In Practice,Indian Institute of Technology Madras,"G. K. Suraishkumar, Richa Verma and E. Prasad",0,"
        ",11,"teaching,engineering",Free Online Course,2019-01-28,Finished,English,,4 weeks long
Computer Science,Computer Science,"Augmented Reality, Virtual Reality, and Mixed Reality: Opportunities and Issues Teach-Out",University of Michigan,Michael Nebeling and Steve Oney,0,"
        ",65,"augmented reality,virtual reality",Free Online Course (Audit),2018-07-30,Finished,English,,2 weeks long
Computer Science,Artificial Intelligence,Artificial Intelligence: Search Methods for Problem Solving,Indian Institute of Technology Madras,Deepak Khemani,1,"
        ",95,"artificial intelligence,india,asia",Free Online Course,2018-07-30,Finished,English,"
              Certificate Available
            ",14 weeks long
Computer Science,Information Technology,Diseño de sistemas de información gerencial para intranet con Microsoft Access,Universidad del Rosario,Claudia Alejandra Castillo Chavarro and Juan Manuel Sánchez Barrero,0,"
        ",5,"information technology,microsoft access",Free Online Course (Audit),2018-06-25,Finished,Spanish,,4 weeks long
Computer Science,Computer Networking,Les réseaux d'accès optiques FTTH,Institut Mines-Télécom,"Catherine Lepers, Eric Gangloff and Marie-Bernadette Piel",0,"
        ",17,"computer networks,telecom,fiber optics",Free Online Course,2018-05-28,Finished,French,"
              Certificate Available
            ",5 weeks long
Computer Science,Computer Science,High Performance Computing in the Cloud,Dublin City University,John Morrison,0,"
        ",12,"cloud computing,hpc",Free Online Course (Audit),2018-05-21,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Computer Science,Computer Science,Objectif IPv6 : vers l'internet nouvelle génération,Institut Mines-Télécom,Jacques Landru and Bruno Stevant,0,"
        ",8,"networking,europe,ipv6,france",Free Online Course,2018-05-03,Finished,French,,6 weeks long
Computer Science,Internet of Things,"Networked control systems with Arduino: an introduction to technology, programming and robotics",Universidad Politécnica de Madrid,"Álvaro Sánchez Picot, Diego Martín de Andrés and Borja Bordel Sánchez",0,"
        ",18,"arduino,internet of things,networking,iot",Free Online Course,2018-04-10,Finished,English,"
              Certificate Available
            ",5 weeks long
Computer Science,DevOps,IT Automation: It’s not that scary!,Google,Google,6,"
        ",81,"devops,automation,it",Free Online Course (Audit),2018-05-28,Finished,English,"
              Paid Certificate Available
            ",7 weeks long
Computer Science,Information Technology,El hogar digital para la provisión de servicios sociosanitarios,Universidad Politécnica de Madrid,"María Luisa Martín Ruiz, Mario Vega Barbas and Iván Pau",0,"
        ",,"ict,social work,technology",Free Online Course,2018-04-02,Finished,Spanish,,5 weeks long
Computer Science,Information Technology,Digitale Identitäten - Wer bin ich im Netz?,openHPI,Prof. Dr. Christoph Meinel,0,"
        ",31,online identity,Free Online Course,2019-02-20,Finished,German,"
              Certificate Available
            ",2 weeks long
Computer Science,Mobile Development,Digital Skills: Mobile,Accenture,Michael Hobbs,0,"
        ",32,"app development,mobile app design",Free Online Course (Audit),2019-02-18,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Computer Science,Information Technology,Microsoft Professional Capstone : System Administration,Microsoft,Cynthia Staley and Tony Jamieson,0,"
        ",16,,Free Online Course (Audit),2018-04-01,Finished,English,"
              $99 Certificate Available
            ",4 weeks long
Computer Science,Computer Networking,Basics of software-defined radios and practical applications,Indian Institute of Technology Roorkee,Meenakshi Rawat,1,"
        ",25,"sdr,software defined radio",Free Online Course,2019-01-28,Finished,English,,4 weeks long
Computer Science,Algorithms and Data Structures,Programming 102: Think like a Computer Scientist,Raspberry Pi Foundation,James Robinson,0,"
        ",129,,Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Computer Science,Representing Data with Images and Sound: Bringing Data to Life,Raspberry Pi Foundation,Caitlyn Merry,0,"
        ",53,,Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,Cybersecurity,Datensicherheit im Netz – Einführung in die Informationssicherheit,openHPI,Prof. Dr. Christoph Meinel,0,"
        ",11,,Free Online Course,2019-01-16,Finished,German,"
              Certificate Available
            ",2 weeks long
Computer Science,DevOps,Microsoft Professional Capstone : DevOps,Microsoft,Eamonn Kelly and Samantha Lindsey-Ahmed,0,"
        ",16,,,2019-01-01,Finished,English,"
              $99 Certificate Available
            ",4 weeks long
Computer Science,Computer Science,How Computers Work: Demystifying Computation,Raspberry Pi Foundation,Marc Scott,1,"
        ",90,"computer science,computing",Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Computer Science,Routage et qualité de service dans l'Internet,Institut Mines-Télécom,Géraldine Texier,0,"
        ",7,"networking,europe,routing,qos,france",Free Online Course,2018-11-08,Finished,French,,6 weeks long
Computer Science,Information Technology,Mainframe - Crucial Role in Modern Enterprise Computing,openHPI,"Andreas Polze, Wolfram Greis and Philipp Brune",0,"
        ",28,"enterprise computing,mainframes",Free Online Course,2018-11-05,Finished,English,"
              Certificate Available
            ",6 weeks long
Computer Science,Computer Science,Comprendre la 4G,Institut Mines-Télécom,Xavier Lagrange,2,"
        ",11,"europe,4g network,mobile data networks,telecom,france",Free Online Course,2018-10-16,Finished,French,,6 weeks long
Computer Science,Internet of Things,Internet of Things & Augmented Reality Emerging Technologies,Yonsei University,Jong-Moon Chung,4,"
        ",492,"internet of things,asia,augmented reality,iot,south korea",Free Online Course (Audit),2018-10-01,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Computer Science,Cybersecurity,Cybersecurity Capstone Project,"University of Maryland, College Park",Michael Hicks,0,"
        ",16,"cyber security,capstone,usa,north america",,2018-10-01,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Computer Science,Wireless Communication Emerging Technologies,Yonsei University,Jong-Moon Chung,3,"
        ",167,"asia,wireless technology,south korea",Free Online Course (Audit),2018-10-01,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Computer Science,Smartphone Emerging Technologies,Yonsei University,Jong-Moon Chung,3,"
        ",104,"asia,smartphones,mobile technology,south korea",Free Online Course (Audit),2018-10-01,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Computer Science,Supercomputing,Partnership for Advanced Computing in Europe,David Henty,0,"
        ",39,"europe,scotland",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Computer Science,Emerging Technologies Capstone,Yonsei University,Jong-Moon Chung,0,"
        ",,"capstone,asia,technology,south korea",,2018-09-03,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Artificial Intelligence,Natural Language Processing and Language Understanding in Educational Research,University of Texas Arlington,Pete Smith  and  Henry Anderson,0,"
        ",14,utarlingtonx,Free Online Course (Audit),2018-09-03,Finished,English,,3 weeks long
Computer Science,Computer Science,Internet Emerging Technologies,Yonsei University,Jong-Moon Chung,2,"
        ",89,"internet,asia,south korea",Free Online Course (Audit),2018-10-01,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,Information Technology,ga058: はじめて情報システムを学ぶ学生・生徒のために,Osaka University,"Hiramatsu Ayako, Goto Akihiko and Takane Shinya",0,"
        ",,"information technology,japan,it management,information systems,asia",Free Online Course,2018-08-29,Finished,Japanese,,4 weeks long
Computer Science,Information Technology,Fondamenti di informatica,University of Naples Federico II,"Carlo Sansone, Vincenzo Moscato",0,"
        ",13,information technology,Free Online Course,2018-03-06,Finished,Italian,,10 weeks long
Computer Science,Computer Science,Calcolatori Elettronici,University of Naples Federico II,Nicola Mazzocca,0,"
        ",11,computer systems,Free Online Course,2018-03-05,Finished,Italian,,10 weeks long
Computer Science,Artificial Intelligence,Elaborazione del linguaggio naturale,University of Naples Federico II,Francesco Cutugno,0,"
        ",7,"europe,italy",Free Online Course,2018-03-01,Finished,Italian,,8 weeks long
Computer Science,Artificial Intelligence,Building Bots for Journalism: Software You Talk With,Knight Center for Journalism in the Americas,John Keefe,0,"
        ",54,"journalism,artificial intelligence,nlp,chatbot",Free Online Course,2018-02-12,Finished,English,"
              Certificate Available
            ",5 weeks long
Computer Science,Algorithms and Data Structures,Laboratorio di Programmazione,University of Naples Federico II,Marco Lapegna,0,"
        ",5,"europe,italy",Free Online Course,2018-02-12,Finished,English,,11 weeks long
Computer Science,Computer Networking,Conectando el futuro con Fibra Óptica,Universitas Telefónica,"María José Pérez Martín, Ricardo Bueno Evia and Jesus Serrano Pascual",0,"
        ",6,"computer networks,fiber optics",Free Online Course,2018-02-09,Finished,Spanish,"
              Certificate Available
            ",6 weeks long
Computer Science,Computer Networking,Cobre el fiel amigo de la comunicación,Universitas Telefónica,"Andrés Bueno Crespo, María José Pérez Martín, Ricardo Bueno Evia and Jesus Serrano Pascual",0,"
        ",,"computer networks,telecom",Free Online Course,2018-02-07,Finished,Spanish,"
              Certificate Available
            ",6 weeks long
Computer Science,Computer Networking,Digital Switching - I,Indian Institute of Technology Kanpur,Yatindra Nath Singh,0,"
        ",,"communication systems,digital telephony,digital switching",Free Online Course,2018-02-05,Finished,English,,8 weeks long
Computer Science,Algorithms and Data Structures,Traditional and Non-Traditional Optimization Tools,"Indian Institute of Technology, Kharagpur",Dilip Kumar Pratihar,0,"
        ",9,"algorithms,genetic algorithms,soft computing,algorithms core",Free Online Course,2018-02-05,Finished,English,,8 weeks long
Computer Science,Algorithms and Data Structures,"Programming, Data Structures and Algorithms",Indian Institute of Technology Madras,"Hema A. Murthy, Shankar Balachandran and N. S. Narayanaswamy",2,"
        ",167,"india,asia,programming core,algorithms core",Free Online Course,2018-02-05,Finished,English,"
              Certificate Available
            ",10 weeks long
Computer Science,Computer Science,An Introduction to Probability in Computing,Indian Institute of Technology Madras,John Augustine,0,"
        ",18,"computer science,probability theory",Free Online Course,2018-02-05,Finished,English,,4 weeks long
Computer Science,Computer Science,Advanced Graph Theory,Indian Institute of Technology Kanpur,Rajiv Misra,0,"
        ",15,"computer science,graph theory,algorithms core",Free Online Course,2018-02-05,Finished,English,,8 weeks long
Computer Science,Artificial Intelligence,Artificial Intelligence: Knowledge Representation and Reasoning,Indian Institute of Technology Madras,Deepak Khemani,0,"
        ",82,"artificial intelligence,algorithms,india,asia",Free Online Course,2018-01-22,Finished,English,,12 weeks long
Computer Science,Cybersecurity,Information security - IV,Indian Institute of Technology Madras,"V. Kamakoti, Shankar Raman and Vasan",0,"
        ",23,"information security,penetration testing,kali linux",Free Online Course,2018-02-05,Finished,English,,8 weeks long
Computer Science,Machine Learning,Introduction to Machine Learning,Indian Institute of Technology Madras,Balaraman Ravindran,1,"
        ",304,"machine learning,india,asia,machine learning core",Free Online Course,2018-01-22,Finished,English,,12 weeks long
Computer Science,Cybersecurity,CNIT 127: Exploit Development,Independent,Sam Bowne,0,"
        ",22,"bug bounty,shellcoding,exploit development",Free Online Course,2018-01-20,Finished,English,,16 weeks long
Computer Science,Computer Networking,Les Réseaux Locaux,Université fédérale de Toulouse Midi-Pyrénées,"Emmanuel Chaput, André Luc Beylot and Riadh Dhaou",0,"
        ",,"computer networks,lan",Free Online Course,2018-01-08,Finished,French,,5 weeks long
Computer Science,Internet of Things,Practical Internet of Things (loT) with RaspberryPi,Universidad Politécnica de Madrid,"Jorge Artieda, Miguel Hernando Gutiérrez and Alberto Brunete",0,"
        ",15,"raspberry pi,internet of things,iot",Free Online Course,2018-01-08,Finished,English,,6 weeks long
Computer Science,Computer Science,MATLAB Y OCTAVE para ingenieros y científicos,Universidad Politécnica de Madrid,"Mariló López González, Sagrario Lantarón Sánchez and Santiago Higuera de Frutos",0,"
        ",3,"matlab,scientific computing,octave",Free Online Course,2018-01-08,Finished,Spanish,,7 weeks long
Computer Science,Internet of Things,The Internet of Things,King's College London,Mischa Dohler,7,"
        ",910,"internet of things,europe,iot,uk",Free Online Course (Audit),2017-11-06,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Algorithms and Data Structures,"Reliable Distributed Algorithms, Part 1",KTH Royal Institute of Technology,"Seif Haridi, Paris Carbone and Lars Kroll",1,"
        ",391,"kthx,algorithms core",Free Online Course (Audit),2017-10-17,Finished,English,,5 weeks long
Computer Science,Computer Science,Fundamentals of Computer Architecture,EIT Digital ,Juha Plosila,1,"
        ",91,"europe,belgium",Free Online Course (Audit),2017-10-02,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Information Technology,Developing Microsoft Azure Solutions,Microsoft,Sidney Andrews,0,"
        ",34,,Free Online Course (Audit),2017-10-01,Finished,English,,6 weeks long
Computer Science,Information Technology,Digital Accessibility as a Business Practice,Ryerson University,"Greg Gay, Branka Halilovic and Naza Djafarova",10,"
        ",402,"inclusive technology,digital accessibility",Free Online Course,2018-02-05,Finished,English,,3 weeks long
Computer Science,Computer Science,Architettura degli elaboratori,University of Urbino,Alessandro Bogliolo,0,"
        ",14,computer architecture,Free Online Course,2017-09-18,Finished,Italian,,31 weeks long
Education & Teaching,Teacher Development,Teaching English Online,Cambridge English Language Assessment,Lindsay Warwick,0,"
        ",123,"teaching,esl,english",Free Online Course (Audit),2019-01-28,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Higher Education,How to Succeed in Your Welsh Bacc: the Individual Project Essentials,University of Bath,Dewi Phillips,0,"
        ",55,"college readiness,higher education",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,STEM,Introduction to Assessment for Learning: Becoming a More Responsive Teacher,National STEM Learning Centre,Matt Cornock,0,"
        ",67,"teaching,stem",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Higher Education,The IB Extended Essay: Managing your Research Project,University of Leeds,Clara Hiskey,5,"
        ",39,"essay writing,research skills",Free Online Course (Audit),2019-01-28,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,STEM,Inspiring Young People In STEM: Planning Activities,National STEM Learning Centre,Angela Rust,0,"
        ",80,"teaching,stem,planning",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,Career Development,Preparing for Teaching,Manchester Metropolitan University,Ellie Overland,0,"
        ",91,teaching,Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Higher Education,Discovering Your PhD Potential: Writing a Research Proposal,FutureLearn,Neil Christie,0,"
        ",63,,Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Education & Teaching,Higher Education,Preparing for University,University of East Anglia,Harriet Jones,5,"
        ",1372,"europe,uk",Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Education & Teaching,STEM,Prepare to Run a Code Club,Raspberry Pi Foundation,Sarah Sheerman-Chase,0,"
        ",43,"stem,coding clubs",Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,Information Technology,Introduction to Data Storage and Management Technologies,IEEE,Pramod Prasad,1,"
        ",97,ieeex,Free Online Course (Audit),2017-02-17,Finished,English,,4 weeks long
Computer Science,Deep Learning,Deep Learning For Visual Computing,"Indian Institute of Technology, Kharagpur",Debdoot Sheeet,1,"
        ",17,"artificial intelligence,machine learning,deep learning,object recognition,deep learning core",Free Online Course,2018-01-22,Finished,English,,12 weeks long
Computer Science,Computer Science,Information Security-3,Indian Institute of Technology Madras,V. Kamakoti,0,"
        ",20,"india,asia",Free Online Course,2017-01-23,Finished,English,"
              Paid Certificate Available
            ",8 weeks long
Computer Science,Information Technology,Advanced Analytics for Ecosystems around Software,openHPI,Jürgen Döllner,0,"
        ",18,"benchmarking,vendor management,it consulting",Free Online Course,2017-01-16,Finished,English,"
              Certificate Available
            ",3 weeks long
Computer Science,Artificial Intelligence,Introduction to Natural Language Processing,University of Michigan,Dragomir Radev,9,"
        ",371,"python,usa,north america,nlp core",Free Online Course (Audit),2016-07-04,Finished,English,"
              Paid Certificate Available
            ",12 weeks long
Computer Science,Algorithms and Data Structures,"Algorithms: Design and Analysis, Part 2",Stanford University,Tim Roughgarden,19,"
        ",791,"usa,north america,algorithms core",Free Online Course (Audit),2016-10-31,Finished,English,"
              Paid Certificate Available
            ",7 weeks long
Computer Science,Algorithms and Data Structures,"Algorithms: Design and Analysis, Part 1",Stanford University,Tim Roughgarden,67,"
        ",2365,"usa,north america,algorithms core",Free Online Course (Audit),2016-10-31,Finished,English,"
              Paid Certificate Available
            ",7 weeks long
Computer Science,Computer Science,Introduction aux technologies des médias interactifs numériques,CNAM,Stéphane Natkin and Pierre Cubaid,0,"
        ",24,,Free Online Course,2016-10-03,Finished,French,,6 weeks long
Computer Science,Information Technology,Introduction to Microsoft Azure,Microsoft,"Corey Hynes, Brian Svidergol, Marcin Policht and Tony Jamieson",1,"
        ",50,,Free Online Course (Audit),2016-09-27,Finished,English,,6 weeks long
Computer Science,DevOps,DEV217x: Accelerate Software Delivery Using DevOps,Microsoft,"Sam Guckenheimer, Steven Borg and Lei Ma",0,"
        ",13,,Free Online Course (Audit),2016-08-29,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Computer Science,Computer Science,Introduction to Operating Systems,Indian Institute of Technology Madras,Chester Rebeiro,1,"
        ",81,"india,operating systems,asia,xv6,operating systems core,systems core",Free Online Course,2016-07-18,Finished,English,"
              Certificate Available
            ",8 weeks long
Computer Science,Algorithms and Data Structures,Quantum Information and Computing,Indian Institute of Technology Bombay,Dipan Ghosh,1,"
        ",79,"india,quantum mechanics,asia,quantum computing",Free Online Course,2016-07-18,Finished,English,"
              Certificate Available
            ",8 weeks long
Computer Science,Software Development,Windows 10 App Development - Advanced,Microsoft,Sage Franch,0,"
        ",27,,Free Online Course (Audit),2016-08-04,Finished,English,,5 weeks long
Computer Science,Algorithms and Data Structures,Theory of Computation,Indian Institute of Technology Kanpur,Raghunath Tewari,1,"
        ",47,"india,asia,cs math core",Free Online Course,2016-07-18,Finished,English,,8 weeks long
Computer Science,Artificial Intelligence,Reinforcement Learning,Indian Institute of Technology Madras,Balaraman Ravindran,0,"
        ",33,"machine learning,algorithms,india,reinforcement learning,asia",Free Online Course,2016-07-18,Finished,English,,12 weeks long
Computer Science,Artificial Intelligence,Introduction to Recommender Systems,University of Minnesota,Joseph Konstan and Michael Ekstrand,21,"
        ",206,"usa,north america,recommendation core",Free Online Course (Audit),2016-09-05,Finished,English,"
              Paid Certificate Available
            ",8 weeks long
Computer Science,Artificial Intelligence,Introduction to Data Analytics,Indian Institute of Technology Madras,Balaraman Ravindran and Nandan Sudarsanam,2,"
        ",136,"machine learning,india,asia,data analytics",Free Online Course,2016-07-18,Finished,English,"
              Certificate Available
            ",8 weeks long
Computer Science,Computer Science,Initiation à la conception orientée objet,University of Sousse,Lilia Cheniti and Sonia Ayachi Ghannouchi,1,"
        ",10,"europe,uml,object oriented programming,tunisia",Free Online Course,2016-09-26,Finished,French,,4 weeks long
Computer Science,Information Technology,Enterprise Architecture and Essentials of The Open Group Architecture Framework (TOGAF® 9.1),IEEE,Dr.  Steve Else,0,"
        ",7,"information technology,ieeex,project management",,2016-07-14,Finished,English,,5 weeks long
Computer Science,Algorithms and Data Structures,Introduction to Cryptology,Indian Institute of Technology Roorkee,Sugata Gangopadhyay,0,"
        ",38,"cryptography,cryptology",Free Online Course,2016-07-18,Finished,English,,4 weeks long
Education & Teaching,STEM,Inspiring Young People In STEM: Resources and Diversity,National STEM Learning Centre,Angela Rust,0,"
        ",71,"teaching,stem,diversity,inspiration",Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,STEM,Flexagons and the Math Behind Twisted Paper,Weizmann Institute of Science,Yossi Elran,1,"
        ",27,"mathematics,stem",Free Online Course (Audit),2018-12-17,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,K12,Early Childhood Education,Gowrie Victoria,Helen Lawrence and Caitlin O’Connell,18,"
        ",2483,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Education & Teaching,Teacher Development,Becoming a Confident Trainer,TAFE SA,Peter Green and Karen Turnbull,5,"
        ",782,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Computer Science,Computer Science,À la découverte des télécommunications,Institut Mines-Télécom,Chantal Vallet and Bruno Meurisse,0,"
        ",5,"europe,computer networks,telecom,france",Free Online Course,2016-10-20,Finished,French,,5 weeks long
Education & Teaching,STEM,Programming 101: An Introduction to Python for Educators,Raspberry Pi Foundation,Martin O'Hanlon,0,"
        ",99,"raspberry pi,stem,programming",Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Education & Teaching,Apprendre et enseigner avec les sciences cognitives,Direction des Ressources Humaines de l'Armée de Terre,"Jean-luc Berthier, Mickaël Desnos and Régis Jambois",0,"
        ",2,"teaching,learning,cognitive neuroscience",Free Online Course,2017-12-20,Finished,French,"
              Certificate Available
            ",6 weeks long
Education & Teaching,Higher Education,Teaching Adult Learners,Central Institute of Technology,Debra Lunt,8,"
        ",9510,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Education & Teaching,Teacher Development,Education in a Changing World,Open2Study,Dr Ross Boyd,5,"
        ",492,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Computer Science,Computer Networking,Introduction to Windows PowerShell,Microsoft,Cynthia Staley and Tony Jamieson,1,"
        ",130,,Free Online Course (Audit),2016-09-20,Finished,English,,6 weeks long
Education & Teaching,Course Development,Using Peer Tutoring to Improve Student Reading,Queen's University Belfast,Allen Thurston,0,"
        ",36,peer learning,Free Online Course (Audit),2018-10-15,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,STEM,Assessment for Learning in STEM Teaching,National STEM Learning Centre,Dylan Wiliam and Chris Harrison,0,"
        ",117,stem,Free Online Course (Audit),2018-10-08,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Education & Teaching,Course Development,Teaching Literacy Through Film,The British Film Institute,Diane Evans,2,"
        ",1553,"early literacy,film texts",Free Online Course (Audit),2018-10-08,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Education & Teaching,The Museum as a Site and Source for Learning,University of Glasgow,Margaret Jago,0,"
        ",54,"education,learning,museums",Free Online Course (Audit),2018-11-05,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,K12,Understanding and Teaching Evolution,University of Bath,Laurence Hurst (Educator),0,"
        ",63,"teaching,k12,evolution",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Course Development,Gestión de objetos de aprendizaje digitales,Universidad Autónoma de Guerrero,Elvia Garduño Teliz,0,"
        ",,"digital learning,digital classroom",Free Online Course,2018-10-08,Finished,Spanish,,5 weeks long
Education & Teaching,K12,Good Practice in Autism Education,University of Bath,Mark Brosnan,1,"
        ",172,"education,autism",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Course Development,TESOL Strategies: Supporting ESL Students in Mainstream Classrooms,University of Glasgow,Catherine  Doherty,0,"
        ",90,"language learning,tesol",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Higher Education,(HE) Exploring the Student Affairs in Higher Education Profession,Colorado State University Online,"Paul Shepard, Teri Engelke and Lory-Ann Varela",3,"
        ",169,"usa,north america",Free Online Course,2018-09-10,Finished,English,,8 weeks long
Education & Teaching,Higher Education,Gateway to College Learning,The University of Oklahoma,"Lillian Miller, MEd",0,"
        ",39,"usa,north america",Free Online Course,2018-08-20,Finished,English,,16 weeks long
